laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de alarmas

'Rango : 'Por tiempo:' (01-29-2025 05:47:34 ... 02-05-2025 06:47:34)
'Filtro :   usuarios = 'Todos los usuarios'  alarmas = 'Todas las alarmas'  tipos = 'Alarma entrante' 'Conf entrante.' 'Alarmas pendientes' 'Conf saliente.'

Tiempo ,Tipo de alarma,Número,Alarma
01-29-2025 11:08:03,'Alarmas pendientes,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:08:03,'Alarmas pendientes,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:08:19,'Conf saliente.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por paulamh (Paula Martinez Henao)
01-29-2025 11:08:19,'Conf saliente.,'155,'VÁLVULA DE CARGA (V203010) - por paulamh (Paula Martinez Henao)
01-29-2025 11:08:19,'Conf saliente.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por paulamh (Paula Martinez Henao)
01-29-2025 11:08:19,'Conf saliente.,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por paulamh (Paula Martinez Henao)
01-29-2025 11:08:51,'Alarma entrante,'173 - 4,'MEDIDA DE HUMEDAD DE PRODUCTO - ERROR EN NÚMERO DE PRODUCTO
01-29-2025 11:08:51,'Alarma entrante,'173,'MEDIDA DE HUMEDAD DE PRODUCTO
01-29-2025 11:09:06,'Conf entrante.,'173,'MEDIDA DE HUMEDAD DE PRODUCTO - por paulamh (Paula Martinez Henao)
01-29-2025 11:09:06,'Conf entrante.,'173 - 4,'MEDIDA DE HUMEDAD DE PRODUCTO - ERROR EN NÚMERO DE PRODUCTO - por paulamh (Paula Martinez Henao)
01-29-2025 11:09:11,'Alarmas pendientes,'173,'MEDIDA DE HUMEDAD DE PRODUCTO
01-29-2025 11:09:11,'Alarmas pendientes,'173 - 4,'MEDIDA DE HUMEDAD DE PRODUCTO - ERROR EN NÚMERO DE PRODUCTO
