laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de alarmas

'Rango : 'Por tiempo:' (01-29-2025 05:47:34 ... 02-05-2025 06:47:34)
'Filtro :   usuarios = 'Todos los usuarios'  alarmas = 'Todas las alarmas'  tipos = 'Alarma entrante' 'Conf entrante.' 'Alarmas pendientes' 'Conf saliente.'

Tiempo ,Tipo de alarma,Número,Alarma
01-29-2025 11:36:30,'Alarma entrante,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:36:48,'Alarma entrante,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 11:36:48,'Alarma entrante,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020)
01-29-2025 11:36:54,'Conf entrante.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:36:54,'Conf entrante.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 11:36:54,'Conf entrante.,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:36:54,'Conf entrante.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:37:06,'Alarma entrante,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:37:06,'Alarma entrante,'155,'VÁLVULA DE CARGA (V203010)
01-29-2025 11:37:11,'Alarmas pendientes,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:37:11,'Alarmas pendientes,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 11:37:16,'Alarmas pendientes,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020)
01-29-2025 11:37:16,'Alarmas pendientes,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 11:38:38,'Conf entrante.,'155,'VÁLVULA DE CARGA (V203010) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:38:38,'Conf entrante.,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 11:38:39,'Conf saliente.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:38:39,'Conf saliente.,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 11:38:39,'Conf saliente.,'155,'VÁLVULA DE CARGA (V203010) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:38:39,'Alarmas pendientes,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:38:39,'Conf saliente.,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:38:39,'Alarmas pendientes,'155,'VÁLVULA DE CARGA (V203010)
01-29-2025 11:38:39,'Conf saliente.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 11:38:39,'Conf saliente.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:49:51,'Alarma entrante,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 11:49:51,'Alarma entrante,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020)
01-29-2025 11:50:01,'Conf entrante.,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:50:01,'Conf entrante.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:50:02,'Alarma entrante,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:50:02,'Alarma entrante,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 11:50:03,'Conf entrante.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 11:50:03,'Conf entrante.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 11:50:11,'Alarmas pendientes,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020)
01-29-2025 11:50:11,'Alarmas pendientes,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 11:50:22,'Alarma entrante,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 11:50:22,'Alarma entrante,'155,'VÁLVULA DE CARGA (V203010)
01-29-2025 12:01:55,'Conf entrante.,'155,'VÁLVULA DE CARGA (V203010) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:01:55,'Conf entrante.,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:01:59,'Conf saliente.,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:01:59,'Conf saliente.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:05:19,'Alarmas pendientes,'155,'VÁLVULA DE CARGA (V203010)
01-29-2025 12:05:19,'Alarmas pendientes,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:05:19,'Alarmas pendientes,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:05:19,'Alarmas pendientes,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 12:06:10,'Conf saliente.,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:06:10,'Conf saliente.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:06:10,'Conf saliente.,'155,'VÁLVULA DE CARGA (V203010) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:06:10,'Conf saliente.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:06:12,'Alarma entrante,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 12:06:12,'Alarma entrante,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:06:15,'Conf entrante.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:06:15,'Conf entrante.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:06:32,'Alarma entrante,'155,'VÁLVULA DE CARGA (V203010)
01-29-2025 12:06:32,'Alarma entrante,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:08:05,'Alarmas pendientes,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:08:05,'Alarmas pendientes,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 12:08:23,'Conf entrante.,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:08:23,'Conf entrante.,'155,'VÁLVULA DE CARGA (V203010) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:08:24,'Alarmas pendientes,'155,'VÁLVULA DE CARGA (V203010)
01-29-2025 12:08:24,'Alarmas pendientes,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:08:25,'Conf saliente.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:08:25,'Conf saliente.,'155,'VÁLVULA DE CARGA (V203010) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:08:25,'Conf saliente.,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:08:25,'Conf saliente.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:14,'Alarma entrante,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 12:14:14,'Alarma entrante,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020)
01-29-2025 12:14:26,'Alarma entrante,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:14:26,'Alarma entrante,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 12:14:44,'Conf entrante.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:44,'Conf entrante.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:44,'Conf entrante.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:44,'Conf entrante.,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:45,'Alarmas pendientes,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:14:45,'Alarmas pendientes,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 12:14:45,'Alarmas pendientes,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 12:14:45,'Alarmas pendientes,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020)
01-29-2025 12:14:47,'Conf saliente.,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:47,'Conf saliente.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:47,'Conf saliente.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
